Time Step,Susceptible,Infected,Recovered,Infected/Total
27,2353,1,146,4.0E-4
28,2352,1,147,4.0E-4
29,2351,2,147,8.0E-4
30,2351,0,149,0.0
31,2351,0,149,0.0
32,2351,0,149,0.0
33,2351,0,149,0.0
34,2351,0,149,0.0
35,2351,0,149,0.0
36,2351,0,149,0.0
37,2351,0,149,0.0
38,2351,0,149,0.0
39,2351,0,149,0.0
40,2351,0,149,0.0
41,2351,0,149,0.0
42,2351,0,149,0.0
43,2351,0,149,0.0
44,2351,0,149,0.0
45,2351,0,149,0.0
46,2351,0,149,0.0
47,2351,0,149,0.0
48,2351,0,149,0.0
49,2351,0,149,0.0
50,2351,0,149,0.0
51,2351,0,149,0.0
52,2351,0,149,0.0
53,2351,0,149,0.0
54,2351,0,149,0.0
55,2351,0,149,0.0
56,2351,0,149,0.0
57,2351,0,149,0.0
58,2351,0,149,0.0
59,2351,0,149,0.0
60,2351,0,149,0.0
61,2351,0,149,0.0
62,2351,0,149,0.0
63,2351,0,149,0.0
64,2351,0,149,0.0
65,2351,0,149,0.0
66,2351,0,149,0.0
67,2351,0,149,0.0
68,2351,0,149,0.0
69,2351,0,149,0.0
70,2351,0,149,0.0
71,2351,0,149,0.0
72,2351,0,149,0.0
73,2351,0,149,0.0
74,2351,0,149,0.0
75,2351,0,149,0.0
76,2351,0,149,0.0
77,2351,0,149,0.0
78,2351,0,149,0.0
79,2351,0,149,0.0
80,2351,0,149,0.0
81,2351,0,149,0.0
82,2351,0,149,0.0
83,2351,0,149,0.0
84,2351,0,149,0.0
85,2351,0,149,0.0
86,2351,0,149,0.0
87,2351,0,149,0.0
88,2351,0,149,0.0
89,2351,0,149,0.0
90,2351,0,149,0.0
91,2351,0,149,0.0
92,2351,0,149,0.0
93,2351,0,149,0.0
94,2351,0,149,0.0
95,2351,0,149,0.0
96,2351,0,149,0.0
97,2351,0,149,0.0
98,2351,0,149,0.0
99,2351,0,149,0.0
100,2351,0,149,0.0
101,2351,0,149,0.0
102,2351,0,149,0.0
103,2351,0,149,0.0
104,2351,0,149,0.0
105,2351,0,149,0.0
106,2351,0,149,0.0
107,2351,0,149,0.0
108,2351,0,149,0.0
109,2351,0,149,0.0
110,2351,0,149,0.0
111,2351,0,149,0.0
112,2351,0,149,0.0
113,2351,0,149,0.0
114,2351,0,149,0.0
115,2351,0,149,0.0
116,2351,0,149,0.0
117,2351,0,149,0.0
118,2351,0,149,0.0
119,2351,0,149,0.0
120,2351,0,149,0.0
121,2351,0,149,0.0
122,2351,0,149,0.0
123,2351,0,149,0.0
124,2351,0,149,0.0
125,2351,0,149,0.0
126,2351,0,149,0.0
127,2351,0,149,0.0
128,2351,0,149,0.0
129,2351,0,149,0.0
130,2351,0,149,0.0
131,2351,0,149,0.0
132,2351,0,149,0.0
133,2351,0,149,0.0
134,2351,0,149,0.0
135,2351,0,149,0.0
136,2351,0,149,0.0
137,2351,0,149,0.0
138,2351,0,149,0.0
139,2351,0,149,0.0
140,2351,0,149,0.0
141,2351,0,149,0.0
142,2351,0,149,0.0
143,2351,0,149,0.0
144,2351,0,149,0.0
145,2351,0,149,0.0
146,2351,0,149,0.0
147,2351,0,149,0.0
148,2351,0,149,0.0
149,2351,0,149,0.0
150,2351,0,149,0.0
151,2351,0,149,0.0
152,2351,0,149,0.0
153,2351,0,149,0.0
154,2351,0,149,0.0
155,2351,0,149,0.0
